Away Team,Visitor Pts,Home Team,Home Pts,Home Win,Away Pts For,Away Pts Allowed,Away Cover,Away Pace,Away TS,Away eFG,Away 3PAR,Away ft Rate,away orb,away drb,away trb,away AST,away STL,away BLK,Away TOV,away off rtg,away def rtg,Away Travel,Away Inactive,Away ELO,Home Pts For,Home pts allowed,Home Covers,Home Pace,Home TS,Home EFG,Home 3PAR,home ft rate,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home offRtg,Home def RTG,Home Travel,Home Inactive,Home ELO
Philadelphia 76ers,119,Miami Heat,96,0,111.333,118.333,0,97.233,0.548,0.507,0.394,0.208,27.733,74.267,49.3,55.7,8.5,6.4,10.333,114.433,121.8,1017.674,5,1524.138053,121,106.667,0.667,95.167,0.581,0.552,0.382,0.226,32.267,74.1,52.367,57.733,9.867,14.2,7.4,127,112.267,1017.674,5,1442.415781
Brooklyn Nets,118,New York Knicks,142,1,106.667,128,0.333,96.3,0.566,0.515,0.454,0.33,16.4,73.933,43.467,55.967,7.167,7.033,10.267,110.567,133.067,4.785,2,1424.980018,111.333,112,0.667,92.8,0.585,0.549,0.407,0.275,27.4,76.567,52.767,63.833,6.233,3.533,12.767,115.8,116.233,0,2,1487.988815
Memphis Grizzlies,113,Houston Rockets,99,0,127,127.333,0.333,102.7,0.613,0.573,0.384,0.279,27.533,78.1,53.733,59.067,5.533,5.567,10.267,123.433,123.867,484.077,2,1481.051005,112,106.667,0.667,97.567,0.6,0.573,0.515,0.249,20.833,80.467,49.767,70.733,7.867,3.767,13.867,114.767,109.3,0,2,1226.208383
Orlando Magic,117,Milwaukee Bucks,139,1,123.333,124.333,0.667,107.267,0.596,0.57,0.327,0.203,21.567,72.633,49.633,52.4,6.933,12.033,13.3,114.667,115.8,912.631,2,1394.137474,117.333,107.333,1,101.367,0.542,0.503,0.404,0.298,31.767,78.5,55.233,53.967,7.867,13.933,9.8,115.833,106,734.797,2,1578.645821
Los Angeles Lakers,123,Oklahoma City Thunder,117,0,114.333,121.333,0,96.233,0.594,0.566,0.516,0.221,13.433,77.833,43.033,61.567,6.433,3.867,11.033,114.633,121.733,421.453,5,1426.550037,108.667,119,0,96.433,0.549,0.511,0.349,0.303,25.233,70.1,48.167,54.167,4.1,6.4,10.3,112.8,123.333,0,5,1377.809616
New Orleans Pelicans,121,Portland Trail Blazers,110,0,122.667,125.667,0.333,100.3,0.605,0.59,0.417,0.192,23.333,72.367,47.567,58.8,8.567,10.633,12.567,118.333,121.533,2059.562,6,1382.796913,110.333,104.333,0.333,91.067,0.609,0.557,0.365,0.34,26.033,80.567,53.2,63.767,7.333,11.033,11.4,121,114.433,536.638,5,1366.190951
Toronto Raptors,108,Washington Wizards,119,1,111.667,121.333,0.333,101.367,0.534,0.499,0.35,0.255,20.6,75.633,46.1,55.8,9.5,8.733,11.867,106.433,115.733,349.979,6,1407.796621,108.667,118.667,0,102.467,0.557,0.527,0.388,0.215,18.433,81.8,50.8,56.9,7.767,7.033,12.933,105.933,115.7,542.56,5,1424.415332
Philadelphia 76ers,126,Dallas Mavericks,133,1,115.333,116.333,0,99.1,0.559,0.504,0.368,0.297,26.3,69.567,47.9,52.867,9.667,6.033,9.133,116.333,117.367,1110.897,4,1510.93506,128.333,124.333,0.333,96.367,0.659,0.626,0.38,0.292,21.833,82.5,51,63.5,5.233,4.2,8.467,133.133,128.867,0,3,1408.796165
Indiana Pacers,99,San Antonio Spurs,110,1,119.333,126.667,0.333,97.067,0.606,0.57,0.429,0.229,19.133,73.833,47.333,66.367,7,11.967,12.233,119,126.333,251.564,3,1351.333844,114,120.333,0.333,95.733,0.606,0.558,0.488,0.364,22.933,73.033,46.4,51.067,7.267,10.967,12.133,118.933,125.933,1089.903,5,1250.682054
Los Angeles Clippers,91,Golden State Warriors,115,1,115.667,115,0.333,103.767,0.551,0.507,0.287,0.327,24.633,80.333,51.7,61.067,5.133,7.2,10.567,111.567,111,345.491,6,1411.098492,123,116,0.333,102.933,0.617,0.592,0.437,0.272,24.533,77.7,52.133,60.7,5.133,7,13.6,119.6,112.667,0,5,1438.854532
